object_id,problem_type,constraint,aircraft_skin_processing,arc_existence,base_composition_balance,battery_pack_design,battery_pack_voltage_range,budget_limit,charging_station_location,demand_allocation,demand_area_expansion,demand_coverage,depot_departure_return,dinucleotide_repetition_limit,dna_sequence_design,faulty_module_isolation,feasibility,flow_conservation,forbidden_motif,gc_content,inter_job_precedence,job_start_time_window,job_temporal_bounds,load_demand_satisfaction,location_exclusion,max_module_current,minimize_energy_loss,minimize_makespan,minimize_total_cost,minimize_total_distance,module_usage_balancing,non_preemption,operation_end_time_window,operation_level_precedence,operation_precedence,operational_capacity_derating,parallel_activation_consistency,resource_capacity_no_overlap,resource_flexibility,reverse_complementarity,sequence_dependent_setup,sequence_diversity,site_capacity,site_diversity,site_opening,spatial_block_activation_limit,subtour_elimination,switch_count_limit,terminal_gc_stability,travel_cost_limit,vehicle_capacity,vehicle_capacity_relaxed,visit_once,vrp,vrp_time_window,watson_crick_pairing
81,Charging Station Location,3,,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,
82,Charging Station Location,4,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,
83,Charging Station Location,5,,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,
84,Charging Station Location,"1,2",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,
85,Charging Station Location,"1,3",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,,,,,,,
86,Charging Station Location,"1,4",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,
87,Charging Station Location,"1,5",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,
88,Charging Station Location,"2,3",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,
89,Charging Station Location,"2,4",,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,
90,Charging Station Location,"2,5",,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,x,,,,,,
91,Charging Station Location,"3,4",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,
92,Charging Station Location,"3,5",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,
93,Charging Station Location,"4,5",,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,,
94,Charging Station Location,"1,2,3",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,,x,,,,,x,,,,,,
95,Charging Station Location,"1,2,4",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,
96,Charging Station Location,"1,2,5",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,x,,,,,,
97,Charging Station Location,"1,3,4",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,,,,,,,
98,Charging Station Location,"1,3,5",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,,,,,,,
99,Charging Station Location,"1,4,5",,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,,
100,Charging Station Location,"2,3,4",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,
101,Charging Station Location,"2,3,5",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,x,,,,,,
102,Charging Station Location,"2,4,5",,,,,,,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,x,,,,,,
103,Charging Station Location,"3,4,5",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,,
104,Charging Station Location,"1,2,3,4",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,,x,,,,,x,,,,,,
105,Charging Station Location,"1,2,3,5",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,,,,,x,,,,,,
106,Charging Station Location,"1,3,4,5",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,,
107,Charging Station Location,"2,3,4,5",,,,,,x,x,x,,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,x,,,,,,
108,Charging Station Location,"1,2,3,4,5",,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,x,x,x,,,,,x,,,,,,
109,DNA Sequence Design,base,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
110,DNA Sequence Design,1,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
111,DNA Sequence Design,2,,,x,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
112,DNA Sequence Design,3,,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
113,DNA Sequence Design,4,,,,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
114,DNA Sequence Design,"1,2",,,x,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
115,DNA Sequence Design,"1,3",,,,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
116,DNA Sequence Design,"1,4",,,,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
117,DNA Sequence Design,"2,3",,,x,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
118,DNA Sequence Design,"2,4",,,x,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
119,DNA Sequence Design,"3,4",,,,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
120,DNA Sequence Design,"1,2,3",,,x,,,,,,,,,x,x,,x,,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
121,DNA Sequence Design,"1,2,4",,,x,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
122,DNA Sequence Design,"1,3,4",,,,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
123,DNA Sequence Design,"2,3,4",,,x,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,x
124,DNA Sequence Design,"1,2,3,4",,,x,,,,,,,,,x,x,,x,,x,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,x,,,,,,,x
125,VRP,base,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,
126,VRP,1,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,
127,VRP,2,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,
128,VRP,3,,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,
129,VRP,4,,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,
130,VRP,"1,2",,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,x,
131,VRP,"1,3",,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,
132,VRP,"1,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,
133,VRP,"2,3",,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,
134,VRP,"2,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,
135,VRP,"3,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,,
136,VRP,"1,2,3",,x,,,,,,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,x,
137,VRP,"1,2,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,x,
138,VRP,"1,3,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,,
139,VRP,"2,3,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,x,,x,x,x,
140,VRP,"1,2,3,4",,x,,,,,,,,,x,,,,,x,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,x,,,,,x,x,x,x,
